faq_id,category,question,grounded_answer,source_document,source_section,version
FAQ-001,fees,"Are there any upfront or hidden processing fees?","We charge a one-time processing fee of 1.5% of your approved loan amount. This fee is deducted directly from the net loan disbursement, so there are no upfront out-of-pocket charges.",credit_lending_policy_v2.txt,"2.4 Fees and Penalties",2.1
FAQ-002,prepayment,"Can I pay off my loan early without penalty?","Yes, absolutely. Our policy features a $0 prepayment penalty. You can make partial principal curtailments or settle the full loan balance at any time without fees.",credit_lending_policy_v2.txt,"2.4 Fees and Penalties",2.1
FAQ-003,rates,"What interest rate (APR) will I get on my loan?","Our fixed Annual Percentage Rates (APR) depend on your credit score tier: Tier 1 (750+ score) is 6.49%, Tier 2 (700-749) is 8.99%, and Tier 3 (650-699) is 11.75%.",credit_lending_policy_v2.txt,"1.2 Credit Score Tiers & APR Schedules",2.1
FAQ-004,eligibility,"What is the minimum income needed to qualify?","The minimum net monthly income requirement is $2,500 per month (or equivalent in local currency), supported by verifiable pay slips or bank statements.",credit_lending_policy_v2.txt,"1.1 General Eligibility Requirements",2.1
FAQ-005,documents,"What documents do I need to prepare?","You need three documents: a valid government-issued photo ID (Passport, National ID, or Driver's License), proof of income (last 2 months pay slips or 3 months bank statements), and proof of residential address within the last 90 days.",credit_lending_policy_v2.txt,"3. REQUIRED VERIFICATION DOCUMENTS",2.1
FAQ-006,insurance,"What happens if I lose my job during the loan term?","If you hold our Involuntary Unemployment Protection rider, the policy covers up to 6 monthly installments (up to $3,000 per month) following a 60-day initial waiting period.",insurance_protection_riders.html,"2. Protection Coverage Table",1.4
FAQ-007,insurance,"Who receives the benefit if something happens to me?","Under the Credit Life Insurance rider, the outstanding balance is paid in full directly to the lender, and an additional $10,000 direct family benefit is distributed to your named primary beneficiary.",insurance_protection_riders.html,"2. Protection Coverage Table & Beneficiary Rules",1.4
OBJ-001,objection,"The interest rate feels a bit too high for me.","I completely understand. Because our rates are fixed as low as 6.49% with zero prepayment penalties, you can pay down principal early to minimize interest, and there are no surprise balloon payments. Would you like to check your rate tier with a preliminary soft quote that won't impact your credit score?",credit_lending_policy_v2.txt,"1.2 Credit Score Tiers & APR Schedules",2.1
OBJ-002,objection,"I want to think about it before making a decision.","That makes complete sense. Loan decisions deserve careful consideration. I can send your pre-qualification summary and APR breakdown to your email so you have all details in hand. Can I confirm the best email to send this to?",credit_lending_policy_v2.txt,"5. MANDATORY COMPLIANCE DISCLOSURE",2.1
OBJ-003,objection,"I already have financing with my local bank.","That is great that you have an existing relationship! Many of our borrowers find our fixed rate and 15% multi-vehicle protection bundle beats standard bank terms, plus our $0 prepayment penalty gives you complete flexibility. Would you like to compare the monthly numbers side by side?",insurance_protection_riders.html,"2. Protection Coverage Table",1.4
